model,year,trivia,bore/stroke,unitary displacement,total displacement,compression ratio,maximum power,power per litre,maximum torque,valve actuation,fuel feed,ignition,lubrication,clutch,frame,front suspension,rear suspension,brakes,transmission,steering,fuel tank,front tyres,rear tyres,type,length,width,height,wheelbase,front track,rear track,weight,top speed,acceleration 0-100,0-400,0-1000,motore,urban test cycle (homologation 4-1993 with precedent testethod),motorway at 90 (homologation 4-1993 with precedent testethod),motorway at 120 (homologation 4-1993 with precedent testethod),"urban test cycle ece (version ""euro 2"")","extra urban test cycle eudc (version ""euro 2"")","consumption ece+eudc (version ""euro 2"")","co2 emissions combined (version ""euro 2"")","urban test cycle ece (version ""euro 3"")","extra urban test cycle eudc (version ""euro 3"")","consumption ece+eudc (version ""euro 3"")","co2 emissions combined (version ""euro 3"")","urban test cycle ece (versione ""euro 3"")","extra urban test cycle eudc (versione ""euro 3"")","consumption ece+eudc (versione ""euro 3"")","co2 emissions combined (versione ""euro 3"")",urban test cycle ece,extra urban test cycle eudc,consumption ece+eudc,co2 emissions combined,overall length,overall width,front overhang,rear overhang,dry weight,kerb weight,boot (trunk) capacity,fuel tank capacity,weight distribution,unit displacement,specific power,dry weight/power,transmission and gearbox,electronic controls,front,rear,maximum speed,0-100 (0-62ph),manual gearbox: 0-400,manual gearbox: 0-1000,f1 gearbox: 0-400,f1 gearbox: 0-1000,combined,*,**,gearbox,maximum power*,maximum revs perinute,specific output,suspension,0-200 (0-124ph),engine intake with twin ø,chassis,overall lenght,height 4,ful tank capacity,weight/power ratio,overall displacement,maximum power**,0-100,0-1.000,cst with f1-trac system,tptms,rear:,combined (ece+eudc)*,front (option),rear (option),overall lenght (in),overall width (in),height (in),wheelbase (in),front track (in),rear track (in),dry wheight* (lb),kerb weight* (lb),fuel tank capacity (gal),boot (trunk) capacity (cu ft),front (in),rear (in),cst with f1-trac,bore and stroke (in),unit displacement (cu in),total displacement (cu in),maximum speed (mph),0-62ph (s),0-1.000 (s),weight/power ratio (lb/cv),combined* (ece+eudc) (l/100 km),combined* (ece+eudc) (g/km),specific power output,weight distribution fr/r,fuel consumption***,emissions***,electronics,***,dry weight*,kerb weight*,boot capacity,bore and stroke,maximum torque**,f1,scm,combined ece*,front (winter),"rear (winter, can be used w/ chain)",0-62ph,0-124ph,suspensions,dry wheight,maximum engine speed,fiorano lap time,rear winter,0-62ph (0-100),0-124ph (0-200),dry weight/power ratio,fuel consumption (europeanarket version),co2 emission (europeanarket version),rear bench capacity,0-437 yd (0-400),0-1093 yd (0-1000),62-0ph (100-0),124-0ph (200-0),co2 emissions ***,7 gears f1 dual clutch transmission,"e-diff3, f1-trac, high performance abs with ferrari pre-fill","rear (winter, can be used with chains)",total capacity,maximum power **,maximum revs,esc,high-performance abs/ebd,f1-trac,e-diff 3,scm-e with dual coil,0-200,"** engine power is expressed in kw, in accordance with",totalaximum power,totalaximum torque,v12aximum power*,v12aximum torque,electricotor output,co2 emissions,0-300,7-speed dct,high perf abs/ebd,ef1-trac,scm-e frs,aerodynamics,maximum revs (limiter),"esc, high performance abs/ebd, f1-trac, e-diff, scc, frd scm-e",7-speed f1 dual-clutch transmission,fuel consumption,high performance abs/ebd distribution,ssc,frs scm-e,0-400m (0-437 yd),0-1000m (0-1093 yd),100 - 0 (62 – 0ph),200 – 0 (124 – 0 kph),co2 emissions***,maximum torque*,dry weight**,kerb weight**,front (opt),rear (opt),cst with f1 trac system (control for stability and traction),maximum revs perinute (limiter),"rear (winter, can be used with chain)",7-speed f1 dual-clutch gearbox,62-0ph,124-0ph,high performance abs/ebd,f1 trac,maximum power *,maximum torque *,kerb weight **,dry weight **,"e-diff3, f1-trac, abs/ebd performance with ferrari pre-fill, frs scm-e, ssc",0-400m,0-1000m,low,mid,high,extra high,7-speed f1 dual-clutch,bore stroke,"e-diff3, f1-trac, high-performance abs with ferrari pre-fill, frs scm-e, ssc",0 – 100,0 – 200,0 – 400,0 – 1000,maximum power output*,max. revs,0-100 km/h,4rm evo/4ws/ 7-speed f1 dct/ e-diff,"ssc4/ cst with f1 trac, esp",9.0 premium with abs evo/scm - e,0 - 100,0 - 200,100 - 0,200 - 0,max. power output*,max. engine speed,"f1 dual-clutch transmission, 7-speed","esp, esc, with f1-trac, e-diff 3, scm- 					e with twin solenoid",100-0,max. torque*,f1 seven-speed dual-clutch transmission,"e-diff3, f1-trac, abs/high performance ebd with ferrari pre-fill, frs scm-e, fde, ssc 6.0",0-200 km/h,100-0 km/h,200-0 km/h,max. speed,f1 7-speed dual-clutch gearbox,"e-diff3, f1-trac, high performance abs/ebd with ferrari pre-fill, frs scm-e, ssc with fde"
275 P,1964,"This model is yet another addition to the long and hugely successful P series which began with the 250 P. Naturally enough, the 275 P refers to the unitary displacement and the letter P to the fact that this is a prototype. The increase in displacement was sought to improve performance and reliability over the distances involved in endurance races. The engine was also used in the 250 LM series after the FIA turned down its type approval as a GT car. Of course, Ferrari’s experience gained in racing was used to improve the production models which were fitted with engines with the same kind of displacement as the sports-prototypes.",77 x 58.8 mm,273.81 cc,3285.72 cc,9.7 : 1,235 kW (320 hp) at 7700 rpm,97 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",six Weber 38 DCN carburettors,"single spark plug per cylinder, two coils",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 130 litres,5.50 x 15,7.00 x 15,two-seater spider,4160 mm,1675 mm,1055 mm,2400 mm,1350 mm,1340 mm,755 kg (dry),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275 GTS,1964,"The Pininfarina-designed spider version of the 275 GTB shared the same independent rear suspension and rear-mounted gearbox. The V12 once again was fitted with wet sump lubrication, but the engine developed around 20 bhp less; given the type of car and its target clientele, torque and flexibility were favoured over maximum power. While the 275 GTB wore alloy rims, the GTS was fitted with wire wheels, creating a more elegant look.",77 x 58.8 mm,273.81 cc,3285.72 cc,9.2 : 1,191 kW (260 hp) at 7000 rpm,79 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 40 DCZ/6 or 40 DFI/1 carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,worm and roller,capacity 84 litres,195 or 205 x 14,195 or 205 x 14,two-seater spider,4350 mm,1675 mm,1250 mm,2400 mm,1377 mm,1393 mm,1120 kg (dry),242 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275 GTB,1964,The most important new features of the 275 GTB were the rear-mounted gearbox and independent rear suspension.,77 x 58.8 mm,273.81 cc,3285.72 cc,9.2 : 1,206 kW (280 hp) at 7600 rpm,85 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three or six 40 Weber DCN/3 carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,worm and roller,capacity 94 litres,195 or 205 x 14,195 or 205 x 14,two-seater berlinetta,4325 mm,1725 mm,1245 mm,2400 mm,1377 mm,1393 mm,1100 kg (dry),258 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330 P2,1965,"Four litres is as large as Ferrari ever went with developing its sports-prototypes, even when confronted with competition from bigger, 7-litre American engines. To make up for this performance gap, the 330 P2’s V12 relied on very sophisticated construction with twin overhead camshafts per cylinder bank. Similarly, the chassis was strengthened by panels attached to the outside of the spaceframe and the suspension showed distinct F1 single-seater overtones. After a rather patchy season, the car made way for its successor, the 330 P3.",77 x 71 mm,330.62 cc,3967.44 cc,9.9 : 1,301 kW (410 hp) at 8000 rpm,103 hp/l,-,"twin overhead camshafts per bank, two valves per cylinder",six Weber 40 DCN/2 carburettors,"single spark plug per cylinder, two coils",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 140 litres,5.50 x 15,6.50 x 15,two-seater spider,4260 mm,1675 mm,1040 mm,2400 mm,1400 mm,1370 mm,820 kg (dry),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365 P,1965,"The 365 P was the exception to the 4-litre rule for the official works cars. In fact, it was built for dealers’ teams, and the smaller output was made up for by the larger displacement and greater construction simplicity – a fact not to be underestimated considering the cars had to be maintained outside the factory’s racing department. The engine had a single overhead camshaft per cylinder bank and single-plug ignition while the chassis was similar to the P2’s.",81 x 71 mm,365.86 cc,4390.35 cc,9.1 : 1,279 kW (380 hp) at 7200 rpm,87 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",six Weber 38 DCN carburettors,"single spark plug per cylinder, two coils",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 140 litres,5.50 x 15,6.50 x 15,two-seater spider,4260 mm,1675 mm,1040 mm,2400 mm,1400 mm,1370 mm,850 kg (dry),300 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dino 166 P,1965,"The Dino name was revived for a prototype sports car of just 1,600 cc with styling reminiscent of the big P series models. This fast, agile car was used for several endurance races and came home first in a race at Vallelunga with Baghetti at the wheel. It also acquitted itself very well in the 1,000 km at the Nürburgring with a very honourable fourth overall. Driven by Baghetti and Biscaldi, it had actually been lying third ahead of a good number of cars with double and triple its displacement. The development of this model would, in turn, result in the creation of the 206 P.",77 x 57 mm,265.42 cc,1592.57 cc,11.5 : 1,129 kW (175 hp) at 9000 rpm,110 hp/l,-,"twin overhead camshafts per bank, two valves per cylinder",three Weber 40 DCN/2 carburettors,"twin plugs, two coils",dry sump,twin-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 100 litres,5.50 x 13,6.50 x 13,two-seater berlinetta,3820 mm,1570 mm,960 mm,2280 mm,1392 mm,1414 mm,586 kg (dry),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275 GTB Competizione,1965,"At least two prototypes of this model were built in 1965. The story goes that the bodywork, created as always by Pininfarina, was supposed to have been for the new berlinetta.  However, Enzo Ferrari scotched the proposal and the cars already built were initially put into storage. They were later reworked and lightened to make them more suitable for racing and went on to take part in the Targa Florio, the 1000 km at the Nürburgring and the 24 hours of Le Mans in 1965. The latter was a truly tough race and the Ecurie Francorchamps car, with Willy Mairesse and “Beurlys” (the pseudonym of millionaire Jean Blaton), came home third overall behind two 250 LMs and also took first in the GT class. In 1966, a small series was built for customers which featured the same bodywork as the production model.",77 x 58.8 mm,273.81 cc,3285.72 cc,9.5 : 1,221 kW (300 hp) at 7600 rpm,91 hp/l,-,"single overhead camshafts per bank, two valves per cylinder",six Weber 40 DCN/2 carburettors,"single spark plug per cylinder, two coils",dry sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,worm and roller,capacity 140 litres,5.50 or 6.00 x 15,6.50 or 7.00 x 15,two-seater berlinetta,4300 mm,1700 mm,1160 mm,2400 mm,1377 mm,1426 mm,980 kg (dry),282 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dino 206 SP,1965,"This model could best be described as an open-top version of the Dino 166 P with a bigger engine. This one-off barchetta was specifically designed for hillclimbs in the European Mountain Championship. In fact, its power and light weight gave Ludovico Scarfiotti four wins and allowed him to take the title. The 206 S presented a year later was derived directly from the Dino 206 SP.",86 x 57 mm,331.10 cc,1986.60 cc,11 : 1,160 kW (218 hp) at 9000 rpm,110 hp/l,-,"twin overhead camshaft per bank, two valves per cylinder",three Weber 40 DCN/2 carburettors,"twin plugs, two coils",dry sump,twin-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 100 litres,5.50 x 13,7.00 x 13,"two-seater berlinetta, spider",3820 mm,1570 mm,800 mm (spider),2280 mm,1392 mm,1414 mm,"532 kg (dry, spider)",-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275 P2,1965,"The various models in the P series were developed over a period of four years beginning in 1964. The first development came in 1965 with the 275 P2 which stood alongside the very similar 330 P2 from which it differed only in terms of the latter’s larger displacement. Thanks to Parkes and Guichet, the car made a very successful debut at Monza ahead of its more powerful stable mate in the hands of Surtees and Scarfiotti. Avant-garde models were always used by the Ferrari’s official team drivers and were involved in some very hard fought battles with their rivals.",77 x 58.8 mm,273.81 cc,3285.72 cc,9.9 : 1,257 kW (350 hp) at 8500 rpm,107 hp/l,-,"twin overhead camshaft per bank, two valves per cylinder",six Weber 40 DCN/2 carburettors,"single spark plug per cylinder, two coils",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 140 litres,5.50 x 15,6.50 x 15,two-seater spider,4260 mm,1675 mm,1040 mm,2400 mm,1400 mm,1370 mm,790 kg (dry),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dino 206 S,1966,"The 206 S could be described as a small-scale 330 P3. Derived from the 206 SP, the engineers worked hard to lower the car’s kerb weight by nearly 50 kg. The twin overhead camshaft 65° 2-litre V6 engine boasted a new combustion chamber design derived directly from Formula 1 experience. The car proved extremely agile in the hands of its drivers and took numerous class wins.",86 x 57 mm,331.10 cc,1986.60 cc,11 : 1,162 kW (220 hp) at 9000 rpm,111 hp/l,-,"twin overhead camshaft per bank, two valves per cylinder",Lucas indirect injection,"single spark plug per cylinder, single coil",dry sump,twin-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 100 litres,5.50 x 13,7.00 x 13,"two-seater spider, berlinetta",3875 mm,1680 mm,985 mm,2280 mm,1392 mm,1414 mm,580 kg (dry),270 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330 GTC,1966,"This model slotted in between the 275 GTB Berlinetta, whose chassis it shared, and the more tranquil 330 2+2 Coupé, from which it inherited its 4-litre V12 engine. Presented at the 1966 Geneva Motor Show, it was an instant success: Pininfarina’s extremely elegant bodywork took after the 500 Superfast at the front and the 275 GTS at the rear. The 330 GTC remained in production until the end of 1968: 600 were built.",77 x 71 mm,330.62 cc,3967.44 cc,8.8 : 1,221 kW (300 hp) at 7000 rpm,76 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 40 DCZ/6 or 40 DFI/2 carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,worm and roller,capacity 90 litres,205 x 14,205 x 14,two-seater coupé,4470 mm,1665 mm,1282 mm,2400 mm,1401 mm,1417 mm,1300 kg (dry),242 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365 California,1966,"Presented at the 1966 Geneva Motor Show, this was one of the most memorable interpretations of the Italian open sports car theme. Pininfarina enclosed the sophisticated 4.4-litre V12 engine in a body of rare beauty, making it the benchmark in the high performance luxury sports car category. The car’s high price and exclusive image meant it was destined for the most elite section of the market, and only 14 were built.",81 x 71 mm,365.86 cc,4390.35 cc,8.8 : 1,235 kW (320 hp) at 6600 rpm,73 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three twin-choke Weber 40 DFI/5 carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","live axle, radius arms, semi-elliptic springs, coil springs over telescopic shock absorbers",discs,5-speed + reverse,servo-assisted recirculating ball,capacity 100 litres,205 x 15,205 x 15,two-seater spider,4900 mm,1780 mm,1330 mm,2650 mm,1405 mm,1397 mm,1320 kg (dry),245 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330 GTS,1966,"The sports car version of the 330 GTC, the GTS was presented at the Paris Motor Show in October 1966. It had the same V12 running gear as the 330 GTC coupé which, in turn, was developed from the engine designed for the 400 Superamerica. Pininfarina again came up with a very clean, elegant design which proved an immediate hit with the marque’s admirers. The GTS helped Ferrari consolidate its reputation for building high-performance, luxury open sports cars.",77 x 71 mm,330.62 cc,3967.44 cc,8.8 : 1,221 kW (300 hp) at 7000 rpm,76 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 40 DCZ/6 or 40 DFI/2 carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,worm and roller,capacity 90 litres,205 x 14,205 x 14,two-seater spider,4430 mm,1675 mm,1250 mm,2400 mm,1401 mm,1417 mm,1200 kg (dry),242 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275 GTB4,1966,"Presented at the 1966 Paris Motor Show, this was the first ‘production’ Ferrari to be fitted with the four overhead camshaft version of the V12, and was derived directly from the P2 prototype.",77 x 58.8 mm,273.81 cc,3285.72 cc,9.2 : 1,221 kW (300 hp) at 8000 rpm,91 hp/l,-,"twin overhead camshafts per bank, two valves per cylinder",six Weber 40 DCN 9 carburettors,"single spark plug per cylinder, two coils",dry sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,worm and roller,capacity 94 litres,205 x 14,205 x 14,"two-seater, berlinetta",-,-,-,2400 mm,1401 mm,1417 mm,1100 kg (dry),268 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330 P3,1966,"An evolution of the 330 P2, the P3 featured a new tubular chassis with a fibreglass tub: the engine and gearbox were an integral part of the structure, enhancing its rigidity. Compared to the unit used on the P2, the V12 engine was almost 30 kg lighter thanks to redesigned cylinder heads, and a new Lucas injection system in place of the usual battery of Weber carburettors. The car’s most important wins were racked up by Parkes/Scarfiotti at Spa and by Surtees/Parkes at the 1000 km of Monza.",77 x 71 mm,330.62 cc,3967.44 cc,10.5 : 1,309 kW (420 hp) at 8000 rpm,106 hp/l,-,"twin overhead camshaft per bank, two valves per cylinder",Lucas indirect injection,"twin spark plugs per cylinder, two coils",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 114 litres,5.50 x 15,7.00 x 15,"two-seater spider, berlinetta",4170 mm,1780 mm,950 mm,2400 mm,1462 mm,1431 mm,851 kg (dry),310 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dino 206 GT,1967,"For Ferrari it was becoming imperative to increase sales and reduce production costs. With the prototype of the Dino 196 S already in-house, there was an excellent opportunity to design a relatively small displacement, road-going version which, for the first time in Ferrari history, could be built on an assembly line. Pininfarina came up with pretty, classic lines and the Fiat V6 was developed by Ferrari and engineered for transverse mounting amidships.",86 x 57 mm,331.10 cc,1986.60 cc,9 : 1,132 kW (180 hp) at 8000 rpm,91 hp/l,-,"twin overhead camshaft per bank, two valves per cylinder",three Weber 40 DCN F/1 carburettors,"single spark plug per cylinder, single coil",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 65 litres,185 VR 14,185 VR 14,two-seater berlinetta,4150 mm,1700 mm,1115 mm,2280 mm,1425 mm,1400 mm,900 kg (dry),235 km/h,-,-,27 sec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
